mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.3979300022125245,0.10240090016707686,0.2452329635620117,0.026924345100636668,0.001,,"{'model__C': 0.001, 'model__penalty': None}",0.5945716646256285,0.5953738224443149,0.5950693077760252,0.5971736582079776,0.5916093658238861,0.5947595637755665,0.001803339136816467,6
1.950768804550171,0.17377882490956972,0.3369147777557373,0.06274942343681122,0.001,l2,"{'model__C': 0.001, 'model__penalty': 'l2'}",0.5945993403179062,0.595432190364886,0.5951645175988857,0.5969542816388154,0.591613467610205,0.5947527595061396,0.0017525160070378384,14
1.6228070259094238,0.2513136308497224,0.28299264907836913,0.07684388113548032,0.01,,"{'model__C': 0.01, 'model__penalty': None}",0.5945716646256285,0.5953738224443149,0.5950693077760252,0.5971736582079776,0.5916093658238861,0.5947595637755665,0.001803339136816467,6
1.3942715167999267,0.1821868820726799,0.24201583862304688,0.016388813375296178,0.01,l2,"{'model__C': 0.01, 'model__penalty': 'l2'}",0.5945791714169371,0.5953617627781395,0.5950750428652576,0.5971575623657581,0.5916143432481897,0.5947575765348564,0.0017965245200970159,13
1.2836057662963867,0.08989844991760816,0.22755231857299804,0.030743349046611898,0.1,,"{'model__C': 0.1, 'model__penalty': None}",0.5945716646256285,0.5953738224443149,0.5950693077760252,0.5971736582079776,0.5916093658238861,0.5947595637755665,0.001803339136816467,6
1.2517765045166016,0.09371337303577558,0.21449408531188965,0.014114117775880437,0.1,l2,"{'model__C': 0.1, 'model__penalty': 'l2'}",0.5945726535830337,0.5953753523052792,0.5950706044330598,0.5971721747301665,0.5916093496283625,0.5947600269359803,0.0018030760906253627,1
1.3798256874084474,0.23693875140300236,0.22828760147094726,0.029447823517526586,1.0,,"{'model__C': 1, 'model__penalty': None}",0.5945716646256285,0.5953738224443149,0.5950693077760252,0.5971736582079776,0.5916093658238861,0.5947595637755665,0.001803339136816467,6
1.3347157955169677,0.13426639737150883,0.25505380630493163,0.0263677796870542,1.0,l2,"{'model__C': 1, 'model__penalty': 'l2'}",0.5945716926964719,0.5953738602319887,0.5950694265372857,0.5971735297262749,0.5916095925612189,0.594759620350648,0.001803231591128963,2
1.3445755958557128,0.12296321547388829,0.23668475151062013,0.0073427374871754955,10.0,,"{'model__C': 10, 'model__penalty': None}",0.5945716646256285,0.5953738224443149,0.5950693077760252,0.5971736582079776,0.5916093658238861,0.5947595637755665,0.001803339136816467,6
1.4171903610229493,0.13832137422922294,0.2794623851776123,0.05286008914292714,10.0,l2,"{'model__C': 10, 'model__penalty': 'l2'}",0.5945716765017545,0.5953738861435364,0.5950693466433469,0.5971736398534487,0.5916093409907497,0.5947595780265672,0.0018033483261636208,3
1.3133071422576905,0.026063037430029523,0.21969337463378907,0.011479435646081929,100.0,,"{'model__C': 100, 'model__penalty': None}",0.5945716646256285,0.5953738224443149,0.5950693077760252,0.5971736582079776,0.5916093658238861,0.5947595637755665,0.001803339136816467,6
1.2537086963653565,0.10438604604763276,0.21416850090026857,0.01205665504938662,100.0,l2,"{'model__C': 100, 'model__penalty': 'l2'}",0.5945716678645718,0.5953738591523409,0.5950693120946166,0.5971736538892649,0.5916093647441845,0.5947595715489957,0.0018033409393968635,4
1.436049222946167,0.2037935476989739,0.2449777603149414,0.02857955141919533,1000.0,,"{'model__C': 1000, 'model__penalty': None}",0.5945716646256285,0.5953738224443149,0.5950693077760252,0.5971736582079776,0.5916093658238861,0.5947595637755665,0.001803339136816467,6
1.2584520339965821,0.08903910573741237,0.21329774856567382,0.026061695834290917,1000.0,l2,"{'model__C': 1000, 'model__penalty': 'l2'}",0.5945716667849241,0.5953738246036105,0.5950693142539122,0.5971736538892649,0.5916093690629909,0.5947595657189405,0.001803337173518811,5
